Tct Id,Topic Name,LC URI,LC closeMatch,FAST_URI,FAST closeMatch,VIAF_URI,Wikidata_URI,Wikidata closeMatch
3,algorithms,http://id.loc.gov/authorities/subjects/sh85003487,,http://id.worldcat.org/fast/805020,,,https://www.wikidata.org/entity/Q8366,
20,artifacts -- reproduced,,,,,,,
23,audiences,http://id.loc.gov/authorities/subjects/sh85009454,,http://id.worldcat.org/fast/821019,,,https://www.wikidata.org/entity/Q211198,
30,blogs,http://id.loc.gov/authorities/subjects/sh2003004628,,http://id.worldcat.org/fast/1429931,,,https://www.wikidata.org/entity/Q30849,
38,Civilization,http://id.loc.gov/authorities/subjects/sh99005029,,http://id.worldcat.org/fast/862898,,,https://www.wikidata.org/entity/Q1868663,
40,classroom.,,,http://id.worldcat.org/fast/863746,,,https://www.wikidata.org/entity/Q621114,
41,teaching,http://id.loc.gov/authorities/subjects/sh85133052,,http://id.worldcat.org/fast/1144565,,,https://www.wikidata.org/entity/Q352842,
42,cognitive,,,,,,https://www.wikidata.org/entity/Q2626870,closeMatch
45,collaboration,,,,,,https://www.wikidata.org/entity/Q1145523,
46,collective,,,,,,https://www.wikidata.org/entity/Q13473501,
47,collective -- identities,,,,,,https://www.wikidata.org/entity/Q5146163,
53,contribution,,,,,,,
62,culture(s),http://id.loc.gov/authorities/subjects/sh85034755,,http://id.worldcat.org/fast/885059,,,https://www.wikidata.org/entity/Q11042,
66,curriculum,,,http://id.worldcat.org/fast/902556,,,https://www.wikidata.org/entity/Q207137,
67,data,,,,,,https://www.wikidata.org/entity/Q42848,
72,digitization,http://id.loc.gov/authorities/subjects/sh2002011497,,,,,https://www.wikidata.org/entity/Q843958,
73,education,http://id.loc.gov/authorities/subjects/sh85040989,,http://id.worldcat.org/fast/902499,,,https://www.wikidata.org/entity/Q8434,
74,learning,http://id.loc.gov/authorities/childrensSubjects/sj96005890,,http://id.worldcat.org/fast/994826,,,https://www.wikidata.org/entity/Q133500,
81,modeling,,,,,,https://www.wikidata.org/entity/Q6149367,
86,Flow.,,,,,,https://www.wikidata.org/entity/Q750449,
88,game mechanics,,,,,,https://www.wikidata.org/entity/Q1751513,
90,games,http://id.loc.gov/authorities/subjects/sh85052948,,http://id.worldcat.org/fast/937529,,,https://www.wikidata.org/entity/Q11410,
105,interactive,,,,,,,
107,learning activities,,,,,,,
108,learning -- with technology,,,,,,,
110,learning -- playing as,,,,,,,
112,learning -- students',,,,,,,
120,modding and mods,,,,,,,
122,reconstruction,http://id.loc.gov/authorities/subjects/sh2003004960,,http://id.worldcat.org/fast/1200084,,,https://www.wikidata.org/entity/Q29892005,
124,maps,,,http://id.worldcat.org/fast/1423704,,,,
133,"modding, as learning experience -- classroom case study of",,,,,,,
139,museums,http://id.loc.gov/authorities/subjects/sh00006830,,http://id.worldcat.org/fast/1030128,,,https://www.wikidata.org/entity/Q23905265,
144,participants,,,,,,,
145,pedagogy,,,http://id.worldcat.org/fast/902499,closeMatch,,https://www.wikidata.org/entity/Q7922,
147,performance,http://id.loc.gov/authorities/subjects/sh85099805,,http://id.worldcat.org/fast/1057829,,,https://www.wikidata.org/entity/Q7168269,closeMatch
148,pervasive games,,,,,,,
149,photography,http://id.loc.gov/authorities/subjects/sh00006943,,http://id.worldcat.org/fast/1061714,,,https://www.wikidata.org/entity/Q11633,
154,players.,,,,,,https://www.wikidata.org/entity/Q4197743,
156,students,http://id.loc.gov/authorities/subjects/sh85129296,,http://id.worldcat.org/fast/1136041,,,https://www.wikidata.org/entity/Q48282,
157,"playfulness, in learning history",,,,,,,
161,programming,http://id.loc.gov/authorities/subjects/sh85107310,,http://id.worldcat.org/fast/872390,,,https://www.wikidata.org/entity/Q80006,
173,responses,,,,,,https://www.wikidata.org/entity/Q1920566,
181,simulation games,http://id.loc.gov/authorities/subjects/sh2005005589,,http://id.worldcat.org/fast/1739109,,,,
191,stories,,,,,,https://www.wikidata.org/entity/Q1318295,closeMatch
193,students -- abilities of,,,,,,,
201,teaching -- with technology,http://id.loc.gov/authorities/subjects/sh85133171,closeMatch,,,,,
208,video games -- in history education,,,,,,,
212,virtual -- environments,http://id.loc.gov/authorities/subjects/sh92000880,,http://id.worldcat.org/fast/1167688,closeMatch,,https://www.wikidata.org/entity/Q170519,closeMatch
217,virtual,,,,,,,
225,advertising,http://id.loc.gov/authorities/subjects/sh85001086,,http://id.worldcat.org/fast/797511,,,https://www.wikidata.org/entity/Q37038,
227,Austria,http://id.loc.gov/authorities/names/n79040121,,http://id.worldcat.org/fast/1204901,,https://viaf.org/viaf/148842731,https://www.wikidata.org/entity/Q40,
228,authoritarianism,http://id.loc.gov/authorities/subjects/sh85009788,,http://id.worldcat.org/fast/821640,,,https://www.wikidata.org/entity/Q6229,
229,Nordic Model,http://id.loc.gov/authorities/subjects/sh2010006189,,http://id.worldcat.org/fast/1762389,,,https://www.wikidata.org/entity/Q921098,
230,welfare -- welfare states,http://id.loc.gov/authorities/subjects/sh85146037,,,,,https://www.wikidata.org/entity/Q192451,
235,China,http://id.loc.gov/authorities/names/n79091151,,http://id.worldcat.org/fast/1206073,,https://viaf.org/viaf/316750432,https://www.wikidata.org/entity/Q148,
236,constitution,http://id.loc.gov/authorities/subjects/sh2003003664,,http://id.worldcat.org/fast/1423774,,,,
237,convergence,,,,,,,
239,Nordic Model -- and the Media Welfare state,,,,,,,
240,Danish public service broadcaster (DR),,,,,,https://www.wikidata.org/entity/Q1164334,
241,Public Broadcasting Service,http://id.loc.gov/authorities/names/n86134532,,http://id.worldcat.org/fast/621578,,https://viaf.org/viaf/125714574,https://www.wikidata.org/entity/Q215616,
245,Denmark -- and politics,http://id.loc.gov/authorities/subjects/sh85036810,closeMatch,,,,,
246,Denmark -- and society,,,,,,,
247,digital divide,http://id.loc.gov/authorities/subjects/sh00006536,,http://id.worldcat.org/fast/893667,,,https://www.wikidata.org/entity/Q244752,
248,digital infrastructure,,,,,,,
250,internet,http://id.loc.gov/authorities/subjects/sh92002816,,http://id.worldcat.org/fast/977184,,,https://www.wikidata.org/entity/Q75,
254,egalitarianism,http://id.loc.gov/authorities/subjects/sh85044503,,http://id.worldcat.org/fast/914456,,,https://www.wikidata.org/entity/Q188958,
255,Europe,http://id.loc.gov/authorities/subjects/sh85045631,,http://id.worldcat.org/fast/1245064,,https://viaf.org/viaf/252680782,https://www.wikidata.org/entity/Q46,
261,European Union (EU),http://id.loc.gov/authorities/names/n2004153355,,http://id.worldcat.org/fast/916630,,https://viaf.org/viaf/207634635,https://www.wikidata.org/entity/Q458,
262,Facebook,http://id.loc.gov/authorities/names/n2007076967,,http://id.worldcat.org/fast/1781798,,https://viaf.org/viaf/186061244,https://www.wikidata.org/entity/Q355,
263,social media,http://id.loc.gov/authorities/subjects/sh2006007023,,http://id.worldcat.org/fast/1741098,,,https://www.wikidata.org/entity/Q202833,
265,film(s),,,,,,https://www.wikidata.org/entity/Q11424,
268,Finland -- and politics,http://id.loc.gov/authorities/subjects/sh85048389,closeMatch,,,,,
269,Finland -- and society,,,,,,,
272,France,http://id.loc.gov/authorities/names/n79006404,,http://id.worldcat.org/fast/1204289,,https://viaf.org/viaf/264091107,https://www.wikidata.org/entity/Q142,
275,Germany,http://id.loc.gov/authorities/names/n80125931,,http://id.worldcat.org/fast/1210272,,https://viaf.org/viaf/127773629,https://www.wikidata.org/entity/Q183,
277,globalization,http://id.loc.gov/authorities/subjects/sh99010179,,http://id.worldcat.org/fast/943532,,,https://www.wikidata.org/entity/Q7181,
278,Google,http://id.loc.gov/authorities/names/no00095539,,http://id.worldcat.org/fast/1398583,,https://viaf.org/viaf/124291214,https://www.wikidata.org/entity/Q95,
279,Greece,http://id.loc.gov/authorities/names/n80046090,,http://id.worldcat.org/fast/1208380,,https://viaf.org/viaf/131265011,https://www.wikidata.org/entity/Q41,
282,Iceland -- and politics,http://id.loc.gov/authorities/subjects/sh86001844,closeMatch,,,,,
283,Iceland -- and society,,,,,,,
284,Icelandic public service broadcaster (RÚV),,,,,,,
285,immigration,,,http://id.worldcat.org/fast/908690,closeMatch,,https://www.wikidata.org/entity/Q131288,
286,Information and communication technologies (ICTs),,,,,,,
292,Internet -- and public service broadcasting,,,,,,,
293,Italy,http://id.loc.gov/authorities/names/n79021783,,http://id.worldcat.org/fast/1204565,,https://viaf.org/viaf/152361066,https://www.wikidata.org/entity/Q38,
294,Japan,http://id.loc.gov/authorities/names/n78089021,,http://id.worldcat.org/fast/1204082,,https://viaf.org/viaf/159367111,https://www.wikidata.org/entity/Q17,
295,journalism,http://id.loc.gov/authorities/subjects/sh85070736,,http://id.worldcat.org/fast/984032,,,https://www.wikidata.org/entity/Q11030,
297,Latin America,http://id.loc.gov/authorities/subjects/sh85074879,,http://id.worldcat.org/fast/1245945,,https://viaf.org/viaf/252087629,https://www.wikidata.org/entity/Q12585,
299,marketization,,,,,,https://www.wikidata.org/entity/Q3481003,
302,media use,,,,,,,
306,Media Welfare State,,,,,,,
308,Media Welfare State -- four principles/pillars of,,,,,,,
309,Media Welfare State -- four social forces modified by,,,,,,,
312,Modern Times Group,,,,,,https://www.wikidata.org/entity/Q378944,
313,music,http://id.loc.gov/authorities/subjects/sh99001795,,http://id.worldcat.org/fast/1030269,,,https://www.wikidata.org/entity/Q638,
314,neoliberal(ism),,,,,,,
315,Netherlands,http://id.loc.gov/authorities/names/n78085423,,http://id.worldcat.org/fast/1204034,,https://viaf.org/viaf/156652814,https://www.wikidata.org/entity/Q29999,
316,newspapers.,http://id.loc.gov/authorities/subjects/sh85091588,,http://id.worldcat.org/fast/1037111,,,https://www.wikidata.org/entity/Q11032,
326,Norway -- and politics,http://id.loc.gov/authorities/subjects/sh85092682,closeMatch,,,,,
327,Norway -- and society,,,,,,,
328,Norwegian Public Service Broadcaster (NRK),,,,,,,
329,press -- the,,,http://id.worldcat.org/fast/1075837,,,https://www.wikidata.org/entity/Q17502905,closeMatch
332,Norwegian Public Service Broadcaster (NRK) -- and diversity,,,,,,,
333,Norwegian Public Service Broadcaster (NRK) -- and editorial/press freedom,,,,,,,
334,Norwegian Public Service Broadcaster (NRK) -- and free newspapers,,,,,,,
335,Norwegian Public Service Broadcaster (NRK) -- and freedom of expression,,,,,,,
337,Norwegian Public Service Broadcaster (NRK) -- and press support,,,,,,,
338,Norwegian Public Service Broadcaster (NRK) -- and print newspapers,,,,,,,
339,Norwegian Public Service Broadcaster (NRK) -- and self-regulation,,,,,,,
341,public service broadcasting -- and competition,,,,,,,
344,public service broadcasting -- and license fee,,,,,,,
347,television.,,,,,,https://www.wikidata.org/entity/Q289,
351,Schibsted,,,,,https://viaf.org/viaf/231576667,https://www.wikidata.org/entity/Q1309851,
355,Sweden,http://id.loc.gov/authorities/names/n79021184,,http://id.worldcat.org/fast/1204537,,https://viaf.org/viaf/159364209,https://www.wikidata.org/entity/Q34,
357,Sweden -- and politics,http://id.loc.gov/authorities/subjects/sh85131091,closeMatch,,,,,
358,Sweden -- and society,,,,,,,
359,Swedish public service broadcaster (SVT),,,,,,https://www.wikidata.org/entity/Q215363,
360,Switzerland,http://id.loc.gov/authorities/names/n79062978,,http://id.worldcat.org/fast/1205401,,https://viaf.org/viaf/159363991,https://www.wikidata.org/entity/Q39,
361,telecommunications,,,http://id.worldcat.org/fast/1145830,,,https://www.wikidata.org/entity/Q29584330,
362,telecommunications -- and mobile telephony,http://id.loc.gov/authorities/subjects/sh98004793,closeMatch,,,,,
369,Twitter,http://id.loc.gov/authorities/names/n2009031956,,http://id.worldcat.org/fast/1794911,,https://viaf.org/viaf/305341750,https://www.wikidata.org/entity/Q918,
370,"United Kingdom, Great Britain",http://id.loc.gov/authorities/names/n79023147,,http://id.worldcat.org/fast/1204623,,https://viaf.org/viaf/127756949,https://www.wikidata.org/entity/Q145,
372,universalism,,,,,,,
379,American Association of University Professors (AAUP),http://id.loc.gov/authorities/names/n79076108,,,,,https://www.wikidata.org/entity/Q4743104,
381,"Addams, Jane",http://id.loc.gov/authorities/names/n79104234,,http://id.worldcat.org/fast/42421,,https://viaf.org/viaf/12382490,https://www.wikidata.org/entity/Q180989,
382,African Americans,http://id.loc.gov/authorities/subjects/sh85001932,,http://id.worldcat.org/fast/799558,,,https://www.wikidata.org/entity/Q49085,
385,African Americans -- culture,,,,,,https://www.wikidata.org/entity/Q3007177,
388,African Americans -- students,,,,,,,
396,"Alinsky, Saul",http://id.loc.gov/authorities/names/n79039875,,http://id.worldcat.org/fast/33623,,https://viaf.org/viaf/77112217,https://www.wikidata.org/entity/Q25649,
397,"Allen, Woody",http://id.loc.gov/authorities/names/n79090269,,http://id.worldcat.org/fast/1897483,,https://viaf.org/viaf/59077912,https://www.wikidata.org/entity/Q25089,
404,"Appadurai, Arjun",http://id.loc.gov/authorities/names/n80127955,,http://id.worldcat.org/fast/61675,,https://viaf.org/viaf/108525192,https://www.wikidata.org/entity/Q560986,
433,"Brecht, Bertolt",http://id.loc.gov/authorities/names/n79018801,,http://id.worldcat.org/fast/31391,,https://viaf.org/viaf/2467372,https://www.wikidata.org/entity/Q38757,
435,Bring New Orleans Back Commission (BNOB),,,,,,,
467,Chicago Reader,,,,,,https://www.wikidata.org/entity/Q2076422,
471,City of New Orleans Human Relations Commission,,,,,,,
475,CNBC,http://id.loc.gov/authorities/names/no99039052,,http://id.worldcat.org/fast/748087,,https://viaf.org/viaf/124659237,https://www.wikidata.org/entity/Q1023912,
476,CNN,http://id.loc.gov/authorities/names/n82251162,,http://id.worldcat.org/fast/588038,,https://viaf.org/viaf/156628431,https://www.wikidata.org/entity/Q48340,
481,Common Ground,,,http://id.worldcat.org/fast/1684057,,https://viaf.org/viaf/156390909,https://www.wikidata.org/entity/Q1116100,
482,knowledge -- common,,,,,,,
505,Department of Labor,http://id.loc.gov/authorities/names/n79029796,,http://id.worldcat.org/fast/1852863,,https://viaf.org/viaf/312793494,https://www.wikidata.org/entity/Q628807,
506,"Dewey, John",http://id.loc.gov/authorities/names/n79060532,,http://id.worldcat.org/fast/36653,,https://viaf.org/viaf/76314623,https://www.wikidata.org/entity/Q42328134,
528,Federal Emergency Management Agency (FEMA),http://id.loc.gov/authorities/names/n78090715,,,,https://viaf.org/viaf/149544852,https://www.wikidata.org/entity/Q503010,
547,Georgia.,http://id.loc.gov/authorities/names/n79023113,,http://id.worldcat.org/fast/1204622,,https://viaf.org/viaf/144230826,https://www.wikidata.org/entity/Q1428,
563,"Great Depression, the",,,,,,https://www.wikidata.org/entity/Q696482,
568,Guatemalans,http://id.loc.gov/authorities/demographicTerms/dg2015060371,,http://id.worldcat.org/fast/948869,,,https://www.wikidata.org/entity/Q20826647,
576,Gulfsouth Youth Action Corps (GYAC),,,,,,,
588,"Handlin, Oscar",http://id.loc.gov/authorities/names/n79043414,,http://id.worldcat.org/fast/1773420,,https://viaf.org/viaf/13408552,https://www.wikidata.org/entity/Q3886419,
593,Harvard University,http://id.loc.gov/authorities/names/n78096930,,http://id.worldcat.org/fast/528983,,https://viaf.org/viaf/128987800,https://www.wikidata.org/entity/Q13371,
595,Harvard University -- Kennedy School of Government,http://id.loc.gov/authorities/names/n81060016,,http://id.worldcat.org/fast/557306,,https://viaf.org/viaf/140819272,https://www.wikidata.org/entity/Q49127,
613,"HOME, New Orleans (HNO) -- integration of university students",,,,,,,
618,"HOME, New Orleans (HNO) -- university student teams",,,,,,,
665,"King, Rodney",http://id.loc.gov/authorities/names/n2008032573,,http://id.worldcat.org/fast/1785510,,https://viaf.org/viaf/173548440,https://www.wikidata.org/entity/Q338389,
681,Latinos,,,,,,https://www.wikidata.org/entity/Q1464994,
688,"Lee, Spike",http://id.loc.gov/authorities/names/n86129800,,http://id.worldcat.org/fast/201121,,https://viaf.org/viaf/100242985,https://www.wikidata.org/entity/Q51566,
692,levee system,,,,,,https://www.wikidata.org/entity/Q105190,
694,levee system -- failure,,,,,,,
710,Louisiana,http://id.loc.gov/authorities/names/n79138970,,http://id.worldcat.org/fast/1207035,,https://viaf.org/viaf/316750576,https://www.wikidata.org/entity/Q1588,
730,low income,,,http://id.worldcat.org/fast/1071040,closeMatch,,,
735,"Lupton, Julia Reinhardt",,,,,,,
749,Martin Luther King Elementary School,,,,,,,
758,Mexican,http://id.loc.gov/authorities/names/n81013960,closeMatch,http://id.worldcat.org/fast/1019244,,,https://www.wikidata.org/entity/Q96,closeMatch
764,Mexican Americans,http://id.loc.gov/authorities/subjects/sh85084498,,http://id.worldcat.org/fast/1019072,,,https://www.wikidata.org/entity/Q581921,
765,Mexico,http://id.loc.gov/authorities/names/n81013960,,http://id.worldcat.org/fast/1211700,,https://viaf.org/viaf/154775570,https://www.wikidata.org/entity/Q96,
767,Michigan.,http://id.loc.gov/authorities/names/n80046126,,http://id.worldcat.org/fast/1208387,,https://viaf.org/viaf/267241450,https://www.wikidata.org/entity/Q1166,
768,"Michigan, University of",http://id.loc.gov/authorities/names/n98069626,,http://id.worldcat.org/fast/530384,,https://viaf.org/viaf/150312895,https://www.wikidata.org/entity/Q230492,
769,Mississippi,http://id.loc.gov/authorities/names/n79138969,,http://id.worldcat.org/fast/1207034,,https://viaf.org/viaf/140657496,https://www.wikidata.org/entity/Q1494,
801,"New Orleans, La.",http://id.loc.gov/authorities/names/n79007238,,http://id.worldcat.org/fast/1204311,,https://viaf.org/viaf/124951319,https://www.wikidata.org/entity/Q34404,
824,"New York City, NY",http://id.loc.gov/authorities/names/n79007751,,http://id.worldcat.org/fast/1204333,,https://viaf.org/viaf/266415900,https://www.wikidata.org/entity/Q60,
825,New Yorker,,,http://id.worldcat.org/fast/1788224,,https://viaf.org/viaf/261263929,https://www.wikidata.org/entity/Q217305,
826,The New York Times,http://id.loc.gov/authorities/names/no2002041097,,,,https://viaf.org/viaf/186133057,https://www.wikidata.org/entity/Q9684,
827,New York University (NYU),http://id.loc.gov/authorities/names/n79058487,,http://id.worldcat.org/fast/533139,,https://viaf.org/viaf/139712320,https://www.wikidata.org/entity/Q49210,
828,New York University (NYU) -- students,,,,,,,
829,New York University (NYU) -- Tisch School of the Arts,http://id.loc.gov/authorities/names/n85322615,,,,,https://www.wikidata.org/entity/Q797078,
844,National Science Foundation,http://id.loc.gov/authorities/names/n79005681,,http://id.worldcat.org/fast/529404,,https://viaf.org/viaf/157365449,https://www.wikidata.org/entity/Q304878,
851,Operation REACH -- Gulfsouth Youth Action Corps,,,,,,,
858,"Owen, Wilfred",http://id.loc.gov/authorities/names/n79006808,,http://id.worldcat.org/fast/30191,,https://viaf.org/viaf/2564947,https://www.wikidata.org/entity/Q212719,
869,Pulitzer prize,http://id.loc.gov/authorities/subjects/sh85108985,,http://id.worldcat.org/fast/1083784,,,https://www.wikidata.org/entity/Q46525,
871,racism,http://id.loc.gov/authorities/subjects/sh85110266,,http://id.worldcat.org/fast/1086616,,,https://www.wikidata.org/entity/Q8461,
881,Rockefeller Foundation,http://id.loc.gov/authorities/names/n78084859,,http://id.worldcat.org/fast/528303,,https://viaf.org/viaf/151518335,https://www.wikidata.org/entity/Q862034,
895,Save Our Children,,,,,,https://www.wikidata.org/entity/Q1291875,
904,Seventh Ward,,,,,,https://www.wikidata.org/entity/Q7457754,
915,Southern University of New Orleans (SUNO),http://id.loc.gov/authorities/names/no93000552,,,,,https://www.wikidata.org/entity/Q12002144,
920,Southern University of New Orleans,http://id.loc.gov/authorities/names/no93000552,,,,,https://www.wikidata.org/entity/Q12002144,
928,Texas,http://id.loc.gov/authorities/names/n80129616,,http://id.worldcat.org/fast/1210336,,https://viaf.org/viaf/152620751,https://www.wikidata.org/entity/Q1439,
931,"Austin, Texas",http://id.loc.gov/authorities/names/n79007290,,http://id.worldcat.org/fast/1204313,,https://viaf.org/viaf/157089669,https://www.wikidata.org/entity/Q16559,
932,"Houston, Texas",http://id.loc.gov/authorities/names/n79049234,,http://id.worldcat.org/fast/1205077,,https://viaf.org/viaf/154273837,https://www.wikidata.org/entity/Q16555,
937,timing,,,http://id.worldcat.org/fast/1151043,,,https://www.wikidata.org/entity/Q11471,
938,Times-Picayune,http://id.loc.gov/authorities/names/n80139777,,http://id.worldcat.org/fast/1359508,,https://viaf.org/viaf/176196638,https://www.wikidata.org/entity/Q3115193,
940,"de Tocqueville, Alexis",http://id.loc.gov/authorities/names/n79099318,,http://id.worldcat.org/fast/41873,,https://viaf.org/viaf/66474207,https://www.wikidata.org/entity/Q140694,
946,Tulane University,http://id.loc.gov/authorities/names/n79052231,,http://id.worldcat.org/fast/532497,,https://viaf.org/viaf/149794368,https://www.wikidata.org/entity/Q1193547,
947,Tulane University -- Bring New Orleans Back Commission (BNOB),,,,,,,
952,Tulane University -- and Gulfsouth Youth Action Camps,,,,,,,
953,"Tulane University -- HOME, New Orleans",,,,,,,
964,United Nations International Children's Fund,http://id.loc.gov/authorities/names/n79093850,,http://id.worldcat.org/fast/535838,,,https://www.wikidata.org/entity/Q740308,
967,United Nations International Children's Fund (UNICEF),,,,,,,
971,University of Michigan -- Arts of Citizenship Program,,,,,,,
972,"Minnesota, University of",http://id.loc.gov/authorities/names/n79043154,,http://id.worldcat.org/fast/531853,,https://viaf.org/viaf/122755482,https://www.wikidata.org/entity/Q238101,
974,University of New Orleans (UNO) -- Department of Planning and Urban Studies,,,,,,,
975,University of New Orleans (UNO) -- History Department,,,,,,,
976,University of New Orleans (UNO) -- International Project for Nonprofit Leadership (IPNL),,,,,,,
979,"University of Southern California -- American Studies and Ethnicity Department, Center for Diversity and Democracy",,,,,,,
983,University of New Orleans (UNO),http://id.loc.gov/authorities/names/n80020552,,,,,https://www.wikidata.org/entity/Q1474157,
995,"Washington, D.C.",http://id.loc.gov/authorities/names/n79018774,,http://id.worldcat.org/fast/1204505,,https://viaf.org/viaf/312739635,https://www.wikidata.org/entity/Q61,
1004,"Williams, Tennessee",http://id.loc.gov/authorities/names/n79090096,,http://id.worldcat.org/fast/40786,,https://viaf.org/viaf/51697407,https://www.wikidata.org/entity/Q134262,
1012,Xavier University of New Orleans,http://id.loc.gov/authorities/names/n84124090,,,,,,
1013,Xavier University of New Orleans -- Art Department,,,,,,,
1014,Xavier University of New Orleans -- Center for Bioenvironmental Research,,,,,,,
1015,Xavier University of New Orleans -- Community Arts Program,,,,,,,
1016,Yale University,http://id.loc.gov/authorities/names/n79043367,,http://id.worldcat.org/fast/531886,,https://viaf.org/viaf/149131869,https://www.wikidata.org/entity/Q49112,
1017,"Yúdice, George",http://id.loc.gov/authorities/names/n79061692,,http://id.worldcat.org/fast/36880,,https://viaf.org/viaf/106990922,,
1024,Al Jazeera,http://id.loc.gov/authorities/names/n2002059089,,http://id.worldcat.org/fast/775589,,https://viaf.org/viaf/172920101,https://www.wikidata.org/entity/Q13477,
1028,American Idol,http://id.loc.gov/authorities/names/no2002092134,,http://id.worldcat.org/fast/1397598,,https://viaf.org/viaf/215800760,https://www.wikidata.org/entity/Q201052,
1034,Asahi Shimbun,http://id.loc.gov/authorities/names/n82053195,,http://id.worldcat.org/fast/1371078,,https://viaf.org/viaf/178217680,https://www.wikidata.org/entity/Q720503,
1039,"Cameron, James, Avatar",,,http://id.worldcat.org/fast/1776702,,,https://www.wikidata.org/entity/Q24871,
1049,Batman,http://id.loc.gov/authorities/names/nb2015003207,,http://id.worldcat.org/fast/828807,,https://viaf.org/viaf/79903322,https://www.wikidata.org/entity/Q2695156,
1077,Britain,,,http://id.worldcat.org/fast/1204623,,https://viaf.org/viaf/127756949,https://www.wikidata.org/entity/Q23666,
1078,"Brooks, David",http://id.loc.gov/authorities/names/n99280766,,http://id.worldcat.org/fast/1552830,,https://viaf.org/viaf/100275399,https://www.wikidata.org/entity/Q938475,
1083,Candy Candy,,,,,,https://www.wikidata.org/entity/Q699643,
1084,capitalism,http://id.loc.gov/authorities/subjects/sh85019958,,http://id.worldcat.org/fast/846425,,,https://www.wikidata.org/entity/Q6206,
1100,Class -- issues,,,,,,,
1103,colonialism,http://id.loc.gov/authorities/subjects/sh85148216,,http://id.worldcat.org/fast/1181381,closeMatch,,https://www.wikidata.org/entity/Q7167,
1108,corporations,http://id.loc.gov/authorities/subjects/sh85032928,,http://id.worldcat.org/fast/879777,,,https://www.wikidata.org/entity/Q167037,
1114,Imperialism -- cultural,,,,,,https://www.wikidata.org/entity/Q844890,
1123,"Derrida, Jacques",http://id.loc.gov/authorities/names/n79092610,,http://id.worldcat.org/fast/41147,,https://viaf.org/viaf/88958529,https://www.wikidata.org/entity/Q130631,
1130,Disney productions,,,,,,,
1144,England.,http://id.loc.gov/authorities/names/n82068148,,http://id.worldcat.org/fast/1219920,,https://viaf.org/viaf/142995804,https://www.wikidata.org/entity/Q21,
1146,E.T.,http://id.loc.gov/authorities/names/n83179501,,http://id.worldcat.org/fast/1366967,,https://viaf.org/viaf/175395600,https://www.wikidata.org/entity/Q11621,
1147,ethnicity,http://id.loc.gov/authorities/subjects/sh85045187,,http://id.worldcat.org/fast/916034,,,https://www.wikidata.org/entity/Q41710,closeMatch
1150,Fame,http://id.loc.gov/authorities/subjects/sh85047001,,http://id.worldcat.org/fast/920123,,,https://www.wikidata.org/entity/Q1519566,
1151,Family Ties,,,,,,https://www.wikidata.org/entity/Q1144624,
1152,"Fanon, Frantz",http://id.loc.gov/authorities/names/n79133201,,http://id.worldcat.org/fast/45829,,https://viaf.org/viaf/22490,https://www.wikidata.org/entity/Q193670,
1154,magazines -- fashion,,,,,,https://www.wikidata.org/entity/Q9397629,
1165,hip-hop,http://id.loc.gov/authorities/names/n2006011579,,http://id.worldcat.org/fast/957237,,,https://www.wikidata.org/entity/Q1132127,
1166,news reporting,,,http://id.worldcat.org/fast/1094906,closeMatch,,,
1170,France -- national identity,,,,,,,
1171,France -- racial tensions,,,,,,,
1201,"Gilroy, Paul",http://id.loc.gov/authorities/names/nr88001094,,http://id.worldcat.org/fast/224551,,https://viaf.org/viaf/110708863,https://www.wikidata.org/entity/Q329624,
1203,Imaginary (the Imaginary),,,,,,,
1204,"global, the, defined -- global/national/local nexus",,,,,,,
1205,globalization -- awareness of,,,,,,,
1206,Globalization -- Media globalization,http://id.loc.gov/authorities/subjects/sh2009004634,closeMatch,http://id.worldcat.org/fast/1748085,,,,
1207,globalization -- cultural,http://id.loc.gov/authorities/subjects/sh2004010901,closeMatch,,,,https://www.wikidata.org/entity/Q5193359,
1211,globalization -- processes of,,,,,,,
1215,Gone with the Wind,http://id.loc.gov/authorities/names/no2010147125,,http://id.worldcat.org/fast/1357855,,https://viaf.org/viaf/183781200,https://www.wikidata.org/entity/Q2870,
1222,Happy Days,http://id.loc.gov/authorities/names/n80076640,,http://id.worldcat.org/fast/1761723,,,https://www.wikidata.org/entity/Q518589,
1233,hip-hop -- authenticity and,,,,,,,
1236,hip-hop -- French (and Quebecois),,,,,,,
1237,hip-hop -- Japanese,,,,,,https://www.wikidata.org/entity/Q1683348,
1243,Hollywood productions,,,,,,,
1247,"Hugo, Victor",http://id.loc.gov/authorities/names/n79091479,,http://id.worldcat.org/fast/40981,,https://viaf.org/viaf/9847974,https://www.wikidata.org/entity/Q535,
1248,Hybridity.,,,http://id.worldcat.org/fast/1715748,closeMatch,,https://www.wikidata.org/entity/Q1253260,
1252,ideology,http://id.loc.gov/authorities/subjects/sh85064155,,http://id.worldcat.org/fast/966915,,,https://www.wikidata.org/entity/Q7257,
1255,"imaginary, the -- global",,,,,,,
1257,imperialism,http://id.loc.gov/authorities/subjects/sh85064628,,http://id.worldcat.org/fast/968126,,,https://www.wikidata.org/entity/Q7260,
1258,India,http://id.loc.gov/authorities/names/n80125948,,http://id.worldcat.org/fast/1210276,,https://viaf.org/viaf/135375457,https://www.wikidata.org/entity/Q668,
1261,International Herald Tribune (IHT),http://id.loc.gov/authorities/names/n81111676,,,,,https://www.wikidata.org/entity/Q678086,
